=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
LL,Update,2030.38,2023.05.04 10:30:00,M15,Accepted,,
HH,Update,2053.00,2023.05.05 15:30:00,M15,Accepted,,
CHoCH,Bearish,1999.51,2023.05.05 17:00:00,M15,Confirmed,2066.81,1970.01.01 00:00:00
HH,Update,2053.00,2023.05.05 17:00:00,M15,Accepted,,
LL,Update,1999.51,2023.05.05 17:00:00,M15,Accepted,,
HH,Update,2053.00,2023.05.05 17:00:00,M15,Accepted,,
HH,Update,2029.42,2023.05.08 19:15:00,M15,Accepted,,
LL,Update,1999.51,2023.05.09 14:00:00,M15,Accepted,,
CHoCH,Bullish,2038.24,2023.05.10 03:00:00,M15,Confirmed,1999.51,1970.01.01 00:00:00
LL,Update,1999.51,2023.05.10 03:00:00,M15,Accepted,,
HH,Update,2038.24,2023.05.10 03:00:00,M15,Accepted,,
BoS,Bullish,1999.51,2023.05.10 15:30:00,M15,Confirmed,2038.24,1970.01.01 00:00:00
HH,Update,2048.18,2023.05.10 15:30:00,M15,Accepted,,
LL,Update,2021.55,2023.05.10 18:00:00,M15,Accepted,,
HH,Update,2041.29,2023.05.11 15:30:00,M15,Accepted,,
HH,Update,2036.37,2023.05.11 16:45:00,M15,Accepted,,
CHoCH,Bearish,2011.04,2023.05.11 16:45:00,M15,Confirmed,2048.18,1970.01.01 00:00:00
HH,Update,2041.29,2023.05.11 16:45:00,M15,Accepted,,
LL,Update,2011.04,2023.05.11 16:45:00,M15,Accepted,,
HH,Update,2041.29,2023.05.11 16:45:00,M15,Accepted,,
HH,Update,2017.51,2023.05.12 03:30:00,M15,Accepted,,
BoS,Bearish,2011.04,2023.05.12 06:30:00,M15,Confirmed,2041.29,1970.01.01 00:00:00
CHoCH,Bearish,2000.89,2023.05.12 12:45:00,M15,Confirmed,2017.51,1970.01.01 00:00:00
HH,Update,2017.51,2023.05.12 12:45:00,M15,Accepted,,
LL,Update,2000.89,2023.05.12 12:45:00,M15,Accepted,,
HH,Update,2017.51,2023.05.12 12:45:00,M15,Accepted,,
LL,Update,2011.04,2023.05.12 16:45:00,M15,Accepted,,
HH,Update,2022.59,2023.05.12 16:45:00,M15,Accepted,,
HH,Update,2017.51,2023.05.12 18:00:00,M15,Accepted,,
HH,Update,2022.21,2023.05.15 16:45:00,M15,Accepted,,
HH,Update,2014.90,2023.05.16 15:45:00,M15,Accepted,,
